id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
993707118462946291,2023-12-13,Oakridge,49.22384599001915,-123.12549840522544,Private room,4,1 bath,2,$999.00,1,FALSE,TRUE,0,NA,270,11
993809534124159429,2023-12-14,West End,49.28229,-123.12878,Private room,1,1 bath,1,$70.00,30,FALSE,FALSE,0,NA,218,1
993815278064103878,2023-12-13,Mount Pleasant,49.2653542,-123.0997137,Entire home/apt,3,1 bath,2,$110.00,1,FALSE,FALSE,10,5,126,1
994035729138066574,2023-12-14,West End,49.28868004937971,-123.13075006238404,Entire home/apt,2,1 bath,1,$140.00,30,TRUE,FALSE,0,NA,217,3
994200002533302727,2023-12-14,Downtown Eastside,49.28197626575592,-123.10579359110866,Entire home/apt,4,1 bath,1,$100.00,1,FALSE,TRUE,7,4.86,256,1
994372673953366075,2023-12-14,Downtown Eastside,49.28052907451769,-123.1011185417524,Entire home/apt,4,2 baths,2,$166.00,2,FALSE,FALSE,7,4.88,0,1
994435127094813417,2023-12-14,Sunset,49.2227039,-123.0915364,Entire home/apt,6,2.5 baths,3,$247.00,2,FALSE,TRUE,4,4.5,260,1
994465002320306037,2023-12-13,Strathcona,49.26971896071691,-123.10014644399008,Entire home/apt,4,1 bath,2,$132.00,1,FALSE,TRUE,1,3,202,11
994476844630792759,2023-12-14,Downtown,49.27301956662664,-123.12672978720909,Entire home/apt,2,1 bath,1,$108.00,214,FALSE,FALSE,0,NA,267,1
994579254207808808,2023-12-14,Shaughnessy,49.23674,-123.13999,Private room,4,1 bath,2,$109.00,1,FALSE,TRUE,2,4,241,2
994904719094409277,2023-12-14,Hastings-Sunrise,49.26209,-123.04,Entire home/apt,3,1 bath,2,$81.00,3,TRUE,FALSE,1,5,104,2
994994789876450840,2023-12-13,Mount Pleasant,49.26439,-123.09876,Entire home/apt,4,1 bath,1,$257.00,3,TRUE,FALSE,2,4.5,92,3
995120739216133478,2023-12-13,South Cambie,49.25407,-123.11719,Entire home/apt,4,1 bath,2,$88.00,30,FALSE,TRUE,0,NA,153,1
995196087341251849,2023-12-14,Downtown,49.27777199535159,-123.11900658638748,Entire home/apt,4,2 baths,3,$500.00,2,FALSE,FALSE,1,5,302,1
995221289479748306,2023-12-13,Renfrew-Collingwood,49.23491,-123.0327,Private room,2,1 shared bath,1,$150.00,1,FALSE,FALSE,2,5,71,1
995269492355917767,2023-12-14,Downtown,49.28005709287161,-123.12302889630828,Entire home/apt,4,1 bath,2,NA,1,FALSE,FALSE,3,4.33,0,1
995278058722508639,2023-12-14,Downtown,49.28091982969824,-123.12631191628525,Entire home/apt,5,2 baths,2,$179.00,1,FALSE,FALSE,1,5,9,1
995374862815981367,2023-12-14,Sunset,49.22564269414478,-123.08530023532316,Entire home/apt,5,2 baths,3,$186.00,2,FALSE,FALSE,2,5,209,1
995559772678579308,2023-12-14,Downtown,49.28094,-123.11421,Entire home/apt,2,1 bath,1,$133.00,1,FALSE,FALSE,7,5,0,1
995608151390560673,2023-12-13,Killarney,49.22791089126197,-123.02905830753116,Entire home/apt,2,1 bath,1,$160.00,1,FALSE,TRUE,0,NA,286,2
995621102835223919,2023-12-13,Mount Pleasant,49.25841300567189,-123.0994894606621,Entire home/apt,2,1 bath,1,$66.00,30,FALSE,TRUE,1,4,346,134
995682137802607236,2023-12-14,Downtown,49.27900666268695,-123.10928745646524,Entire home/apt,4,2 baths,2,$191.00,1,FALSE,TRUE,1,5,0,1
995845697346080403,2023-12-13,Kerrisdale,49.22708025777706,-123.15786022221673,Private room,4,1 bath,2,$999.00,1,FALSE,FALSE,0,NA,269,1
995874111034944984,2023-12-14,Downtown,49.27927,-123.11764,Entire home/apt,8,3 baths,3,$227.00,2,FALSE,TRUE,2,5,202,2
995880456862146969,2023-12-14,West End,49.28753,-123.1311,Entire home/apt,2,1 bath,1,$120.00,1,FALSE,TRUE,14,4.87,0,2
